"","Name","Description"
"16534","ENSG00000167772.7","ANGPTL4"
"16580","ENSG00000090339.4","ICAM1"
"16606","ENSG00000130164.7","LDLR"
"16636","ENSG00000197647.7","ZNF433"
"16646","ENSG00000198342.5","ZNF442"
"16663","ENSG00000171223.4","JUNB"
"16673","ENSG00000179218.9","CALR"
"16682","ENSG00000160888.6","IER2"
"16709","ENSG00000132002.3","DNAJB1"
"16746","ENSG00000167460.10","TPM4"
"16778","ENSG00000130300.4","PLVAP"
"16786","ENSG00000130309.6","COLGALT1"
"16802","ENSG00000254858.5","MPV17L2"
"16915","ENSG00000153879.4","CEBPG"
"16931","ENSG00000089351.10","GRAMD1A"
"17017","ENSG00000120784.11","ZFP30"
"17062","ENSG00000179134.10","SAMD4B"
"17065","ENSG00000128016.4","ZFP36"
"17083","ENSG00000013275.3","PSMC4"
"17086","ENSG00000197782.10","ZNF780A"
"17095","ENSG00000197019.4","SERTAD1"
"17103","ENSG00000086544.2","ITPKC"
"17178","ENSG00000011422.7","PLAUR"
"17183","ENSG00000167637.12","ZNF283"
"17185","ENSG00000124459.7","ZNF45"
"17200","ENSG00000267508.1","ZNF285"
"17202","ENSG00000167384.6","ZNF180"
"17207","ENSG00000069399.8","BCL3"
"17210","ENSG00000130202.5","PVRL2"
"17218","ENSG00000104856.9","RELB"
"17236","ENSG00000125740.9","FOSB"
"17239","ENSG00000125753.9","VASP"
"17241","ENSG00000177464.4","GPR4"
"17287","ENSG00000105321.8","CCDC9"
"17314","ENSG00000142227.6","EMP3"
"17339","ENSG00000105559.7","PLEKHA4"
"17340","ENSG00000087074.7","PPP1R15A"
"17342","ENSG00000104805.11","NUCB1"
"17346","ENSG00000104812.10","GYS1"
"17387","ENSG00000224420.3","ADM5"
"17456","ENSG00000105497.3","ZNF175"
"17461","ENSG00000171051.4","FPR1"
"17502","ENSG00000203326.5","ZNF525"
"17524","ENSG00000170892.6","TSEN34"
"17527","ENSG00000244482.5","LILRA6"
"17537","ENSG00000167617.2","CDC42EP5"
"17586","ENSG00000179943.6","FIZ1"
"17612","ENSG00000018869.12","ZNF582"
"17627","ENSG00000105146.8","AURKC"
"17628","ENSG00000204524.5","ZNF805"
"17629","ENSG00000197714.4","ZNF460"
"17660","ENSG00000196724.8","ZNF418"
"17705","ENSG00000101276.10","SLC52A3"
"17727","ENSG00000125835.13","SNRPB"
"17783","ENSG00000125845.6","BMP2"
"17841","ENSG00000178726.6","THBD"
"17842","ENSG00000125810.9","CD93"
"17986","ENSG00000101413.7","RPRD1B"
"18015","ENSG00000132823.6","OSER1"
"18076","ENSG00000124160.7","NCOA5"
"18077","ENSG00000101017.9","CD40"
"18103","ENSG00000124216.3","SNAI1"
"18106","ENSG00000172216.4","CEBPB"
"18112","ENSG00000000419.8","DPM1"
"18172","ENSG00000101182.10","PSMA7"
"18177","ENSG00000130706.8","ADRM1"
"18185","ENSG00000101187.11","SLCO4A1"
"18195","ENSG00000149658.13","YTHDF1"
"18207","ENSG00000130589.12","HELZ2"
"18211","ENSG00000243509.4","TNFRSF6B"
"18258","ENSG00000154734.10","ADAMTS1"
"18310","ENSG00000166979.8","EVA1C"
"18376","ENSG00000182240.11","BACE2"
"18384","ENSG00000173276.9","ZBTB21"
"18403","ENSG00000142178.7","SIK1"
"18544","ENSG00000128228.4","SDF2L1"
"18569","ENSG00000099956.13","SMARCB1"
"18578","ENSG00000184674.8","GSTT1"
"18612","ENSG00000100219.12","XBP1"
"18642","ENSG00000242114.1","MTFP1"
"18652","ENSG00000133422.8","MORC2"
"18657","ENSG00000138942.11","RNF185"
"18685","ENSG00000100292.12","HMOX1"
"18689","ENSG00000221963.5","APOL6"
"18693","ENSG00000100336.13","APOL4"
"18695","ENSG00000100342.16","APOL1"
"18713","ENSG00000128340.10","RAC2"
"18739","ENSG00000185022.7","MAFF"
"18822","ENSG00000128274.11","A4GALT"
"18823","ENSG00000242247.6","ARFGAP3"
"18874","ENSG00000198355.4","PIM3"
"18912","ENSG00000185291.6","IL3RA"
"18990","ENSG00000047634.10","SCML1"
"19018","ENSG00000130066.12","SAT1"
"19021","ENSG00000174010.9","KLHL15"
"19025","ENSG00000102230.9","PCYT1B"
"19084","ENSG00000251192.3","ZNF674"
"19101","ENSG00000102265.7","TIMP1"
"19143","ENSG00000102007.6","PLP2"
"19144","ENSG00000012211.8","PRICKLE3"
"19244","ENSG00000102053.11","ZC3H12B"
"19246","ENSG00000147065.12","MSN"
"19254","ENSG00000090776.5","EFNB1"
"19367","ENSG00000102393.5","GLA"
"19396","ENSG00000185222.7","WBP5"
"19472","ENSG00000175556.12","LONRF3"
"19529","ENSG00000102034.12","ELF4"
"19691","ENSG00000102119.6","EMD"
"19701","ENSG00000126903.11","SLC10A3"
